ts,open,close,high,low,total_turnover,volume,limit_up,limit_down
2005-01-04,2.9832,2.927,2.9987,2.8185,3967525.6,1254226.0,3.3261,2.7217
2005-01-05,2.9057,2.9425,2.9425,2.9057,3135939.77,990619.0,3.2195,2.6345
2005-01-06,2.9444,2.9599,2.9735,2.9289,3402510.12,1062426.0,3.237,2.6481
2005-01-07,2.989,3.0684,3.1188,2.9599,2135373.78,652479.0,3.2563,2.6636
2005-01-10,3.0975,3.1014,3.1169,3.0684,3973703.4,1194113.0,3.3745,2.7624
2005-01-11,3.1091,3.113,3.1188,3.0762,2300101.08,684456.0,3.4113,2.7914
2005-01-12,2.927,3.0994,3.1188,2.927,1862214.9,554481.0,3.4249,2.8011
2005-01-13,3.1478,3.1227,3.2118,3.1091,1564845.24,459549.0,3.4094,2.7895
2005-01-14,3.2486,3.1653,3.2486,3.1188,1699792.92,494349.0,3.4345,2.8108
2005-01-17,3.0994,3.1285,3.1575,3.0994,2293663.7,682554.0,3.481,2.8495
2005-01-18,3.1285,3.2195,3.235,3.1285,1933220.76,562886.0,3.4423,2.8147
2005-01-19,3.1498,3.1866,3.2079,3.1498,838674.7,242455.0,3.5411,2.898
2005-01-20,3.1769,3.204,3.2738,3.1478,5250480.6,1519730.0,3.5062,2.8689
2005-01-21,3.1769,3.2253,3.2447,3.1556,1661352.52,482960.0,3.5236,2.8844
2005-01-24,3.2118,3.2505,3.2544,3.2118,1621389.52,462142.0,3.5488,2.9038
2005-01-25,3.2253,3.2544,3.2641,3.1788,730591.0,209276.0,3.576,2.9251
2005-01-26,3.2699,3.266,3.2815,3.1866,1616501.06,460789.0,3.5798,2.9289
2005-01-27,3.2215,3.2428,3.2524,3.1924,4138027.45,1188201.0,3.5934,2.9386
2005-01-28,3.2001,3.2253,3.2311,3.1478,2248199.27,644980.0,3.5663,2.9193
2005-01-31,3.1556,3.2563,3.2873,3.1537,2438864.38,698190.0,3.5488,2.9038
2005-02-01,3.2524,3.2466,3.2583,3.206,977659.28,279305.0,3.5818,2.9309
2005-02-02,3.2641,3.2931,3.3048,3.1769,26257261.38,7397234.0,3.5721,2.9212
2005-02-03,3.2931,3.2931,3.297,3.1963,5767903.0,1627967.0,3.6224,2.9638
2005-02-04,3.2931,3.4055,3.4074,3.2931,19645270.74,5386530.0,3.6224,2.9638
2005-02-16,3.4055,3.3687,3.421,3.3512,5509982.08,1505328.0,3.7464,3.0645
2005-02-17,3.3571,3.3687,3.3687,3.3319,3878572.5,1065734.0,3.7057,3.0316
2005-02-18,3.3667,3.3687,3.388,3.328,2477282.98,679904.0,3.7057,3.0316
2005-02-21,3.3512,3.388,3.39,3.3222,16152645.58,4442691.0,3.7057,3.0316
2005-02-22,3.3706,3.3512,3.3803,3.3435,8788345.0,2418973.0,3.727,3.0491
2005-02-23,3.3416,3.3125,3.3512,3.297,5375900.92,1498578.0,3.6864,3.0161
2005-02-24,3.2854,3.3532,3.3551,3.2854,7764119.0,2152134.0,3.6438,2.9813
2005-02-25,3.3532,3.3299,3.3687,3.3222,14950705.35,4141991.0,3.6883,3.0181
2005-02-28,3.2563,3.3357,3.3377,3.2544,8112956.95,2253807.0,3.6631,2.9967
2005-03-01,3.2989,3.3435,3.3454,3.2989,5573670.41,1541921.0,3.6689,3.0026
2005-03-02,3.3144,3.3299,3.3551,3.3144,4826857.0,1333789.0,3.6786,3.0084
2005-03-03,3.3125,3.328,3.3319,3.2893,2081584.1,580362.0,3.6631,2.9967
2005-03-04,3.3629,3.3939,3.3977,3.3377,10138273.74,2772468.0,3.6612,2.9948
2005-03-07,3.3919,3.5062,3.5159,3.3435,40185856.63,10684058.0,3.7329,3.0549
2005-03-08,3.5101,3.6147,3.6902,3.5101,73325330.01,18670535.0,3.8568,3.1556
2005-03-09,3.6244,3.6147,3.6534,3.5663,22463965.65,5717863.0,3.9769,3.2524
2005-03-10,3.6147,3.5566,3.6205,3.4868,16830110.47,4371055.0,3.9769,3.2524
2005-03-11,3.5566,3.6031,3.6128,3.5333,22354679.44,5753121.0,3.913,3.2001
2005-03-14,3.6031,3.6902,3.7348,3.5663,29928172.33,7535461.0,3.9634,3.2428
2005-03-15,3.6902,3.574,3.6999,3.5508,14542258.22,3740229.0,4.0602,3.3222
2005-03-16,3.5508,3.5256,3.5605,3.5043,23682042.0,6202578.0,3.9324,3.2176
2005-03-17,3.5062,3.6999,3.7232,3.4868,35024745.85,8882855.0,3.8781,3.173
2005-03-18,3.6961,3.6844,3.7193,3.6554,7522215.77,1883598.0,4.0699,3.3299
