ts,open,close,high,low,total_turnover,volume
2005-01-04,996.68,986.93,996.68,984.8,1329187100.0,232376200.0
2005-01-05,986.57,1003.63,1008.86,985.68,1919861800.0,348610100.0
2005-01-06,1003.49,994.6,1003.49,990.79,1629216000.0,293390600.0
2005-01-07,993.43,997.61,1009.0,990.45,1906530700.0,339162700.0
2005-01-10,996.93,1006.34,1006.46,993.12,1650218900.0,294940500.0
2005-01-11,1006.21,1008.34,1009.5,999.86,1778497900.0,313611500.0
2005-01-12,1008.01,1008.62,1008.74,998.36,1825638700.0,319639400.0
2005-01-13,1008.1,1013.07,1014.84,1005.35,2716827500.0,471573400.0
2005-01-14,1012.7,1000.17,1019.48,999.27,2284638800.0,401693700.0
2005-01-17,990.99,977.52,991.02,974.33,2418653700.0,435860300.0
2005-01-18,977.6,991.42,991.84,974.15,2523669400.0,451613300.0
2005-01-19,991.29,986.24,991.29,981.23,2304569200.0,425524900.0
2005-01-20,983.2,972.46,983.2,966.89,2588992500.0,465204800.0
2005-01-21,971.5,988.52,989.72,951.43,3412342300.0,618525600.0
2005-01-24,1009.95,1008.18,1009.95,998.37,4105829000.0,732335500.0
2005-01-25,1006.0,999.55,1006.0,989.95,2651186700.0,469480300.0
2005-01-26,997.64,987.96,997.64,985.67,2238628600.0,411390100.0
2005-01-27,986.15,971.37,986.15,970.35,2214822700.0,412321400.0
2005-01-28,971.37,952.41,971.94,949.11,2106037400.0,407237300.0
2005-01-31,948.44,922.65,948.44,921.58,2058937500.0,409509900.0
2005-02-01,919.8,913.33,929.69,911.93,2076599400.0,419974600.0
2005-02-02,913.03,964.24,964.42,913.03,3522826100.0,655356600.0
2005-02-03,963.75,945.31,967.94,944.76,3476526500.0,637130100.0
2005-02-04,944.45,962.03,963.81,943.47,2874284600.0,519301400.0
2005-02-16,967.43,972.34,979.3,965.94,2555290400.0,469332300.0
2005-02-17,971.84,977.27,977.44,964.32,2081885400.0,403195800.0
2005-02-18,977.12,964.77,977.12,964.55,2134898900.0,411281100.0
2005-02-21,965.0,981.82,981.89,964.47,2568576900.0,476520300.0
2005-02-22,982.42,1007.69,1008.67,980.51,5328306300.0,957578900.0
2005-02-23,1008.29,1019.26,1023.33,1002.8,5822771900.0,1020182300.0
2005-02-24,1018.29,1024.45,1024.87,1012.45,4874675200.0,868323300.0
2005-02-25,1024.57,1024.12,1035.47,1023.74,5608389700.0,965076100.0
2005-02-28,1023.19,1020.85,1026.04,1014.94,4174609100.0,702805200.0
2005-03-01,1020.6,1021.16,1023.96,1011.56,3803211800.0,667563700.0
2005-03-02,1021.36,1006.15,1028.33,1005.34,4197819800.0,745797100.0
2005-03-03,1004.1,1011.29,1011.7,996.36,2991526000.0,537249400.0
2005-03-04,1011.2,1003.21,1012.67,1001.85,2551599000.0,452518900.0
2005-03-07,1004.34,1006.95,1008.36,1001.86,2595513400.0,447514100.0
2005-03-08,1007.68,1029.46,1029.46,1007.68,4502177500.0,718700800.0
2005-03-09,1031.6,1032.55,1034.62,1024.89,5012633400.0,825782300.0
2005-03-10,1032.27,1005.55,1032.27,1002.42,4259483400.0,710602000.0
2005-03-11,1003.78,1009.43,1010.86,999.11,3681413500.0,595531100.0
2005-03-14,1009.18,1007.77,1016.54,991.06,4838849600.0,755050300.0
2005-03-15,1007.89,993.83,1007.89,992.02,4049429000.0,649956800.0
2005-03-16,992.64,983.92,992.64,977.13,3199203600.0,531196500.0
2005-03-17,983.11,970.97,984.25,970.34,3178910800.0,531330700.0
2005-03-18,969.12,949.51,973.1,945.6,3123548600.0,539391700.0
2005-03-21,947.57,949.55,952.76,940.09,2502435600.0,419219000.0
2005-03-22,948.78,922.56,949.07,918.09,3283723300.0,579501300.0
2005-03-23,921.07,923.19,937.68,914.54,3122090400.0,529028300.0
2005-03-24,922.18,933.35,933.92,914.65,2510676300.0,431920100.0
2005-03-25,933.17,931.42,936.13,927.18,2271998400.0,418984500.0
2005-03-28,930.17,922.92,930.17,909.17,2155906700.0,401957000.0
2005-03-29,922.66,916.81,929.46,916.65,1999394300.0,369856700.0
2005-03-30,915.09,888.95,915.09,887.98,2457661200.0,468949600.0
2005-03-31,887.07,896.07,896.41,880.88,2042255400.0,412561400.0
2005-04-01,895.23,927.55,934.55,884.63,3665270900.0,692179300.0
2005-04-04,919.14,909.87,920.62,904.62,2893226400.0,533383800.0
2005-04-05,908.19,901.74,912.38,899.8,2391142600.0,457250300.0
2005-04-06,901.74,918.56,921.64,893.03,3830190100.0,680502800.0
2005-04-07,919.24,932.33,945.57,917.63,5349441600.0,954023500.0
2005-04-08,931.77,949.46,949.47,928.06,4357191800.0,799738100.0
2005-04-11,949.85,948.51,957.34,943.72,4741992600.0,868824200.0
