ts,open,close,high,low,total_turnover,volume
2010-06-01,986.015,973.233,994.793,948.118,4924176838.91,135628510.0
2010-06-02,967.609,997.119,997.119,952.611,4001206160.77,107462758.0
2010-06-03,1002.355,998.394,1026.702,997.775,6240835495.9,161680539.0
2010-06-04,989.681,1027.681,1027.681,986.504,5269440644.11,150029501.0
2010-06-07,1005.028,1069.468,1075.225,1001.702,9106094723.42,265527537.0
2010-06-08,1067.324,1067.154,1075.503,1050.965,6621994295.26,197672078.0
2010-06-09,1070.852,1077.823,1102.098,1069.431,8994866395.71,254156809.0
2010-06-10,1077.675,1117.478,1119.106,1076.281,8242731100.19,219740471.0
2010-06-11,1122.443,1122.199,1128.228,1118.706,8449039155.87,222487419.0
2010-06-17,1126.13,1064.839,1129.685,1064.839,6757409316.43,176428356.0
2010-06-18,1052.067,1000.277,1053.138,993.174,5827721367.28,163065095.0
2010-06-21,991.957,1040.802,1043.156,976.414,5604269447.33,157479764.0
2010-06-22,1037.039,1034.995,1057.365,1033.647,5067480291.85,142716206.0
2010-06-23,1026.865,1047.337,1056.348,1023.737,4608672511.83,125735943.0
2010-06-24,1046.759,1050.601,1059.754,1041.539,3904947868.9,106913294.0
2010-06-25,1046.212,1016.283,1046.212,999.163,4515664637.18,123729834.0
2010-06-28,1009.223,987.827,1014.413,984.216,3463552184.2,92067332.0
2010-06-29,985.572,913.309,992.227,912.54,5293896897.01,149779969.0
2010-06-30,898.291,919.314,921.81,881.36,3852158586.29,122366104.0
2010-07-01,914.395,882.19,921.214,882.19,3663773721.75,104957291.0
2010-07-02,878.951,873.12,885.338,832.623,4212661774.41,128883350.0
2010-07-05,857.369,862.268,870.863,842.733,2851736006.91,91586433.0
2010-07-06,859.258,893.718,898.445,857.797,3751055713.42,116523157.0
2010-07-07,896.532,908.549,908.549,890.336,3342473672.59,104616296.0
2010-07-08,911.997,905.509,914.296,887.027,3780698945.06,109808788.0
2010-07-09,903.496,932.147,936.53,896.886,4743256780.7,145146033.0
2010-07-12,931.535,930.173,941.071,924.058,4188147301.56,126361753.0
2010-07-13,924.948,931.08,936.644,906.304,4744135623.13,146865741.0
2010-07-14,929.749,922.362,937.932,916.074,4648080329.28,142358618.0
