ts,open,close,high,low,total_turnover,volume,limit_up,limit_down
2005-01-04,3.1709,3.2158,3.2158,3.1204,1133937.0,275241.0,3.5189,2.8791
2005-01-05,3.1709,3.199,3.2607,3.1709,1268361.0,305539.0,3.5357,2.8959
2005-01-06,3.2046,3.2215,3.2327,3.1822,1539754.0,372669.0,3.5189,2.8791
2005-01-07,3.2215,3.2663,3.2888,3.2158,1797529.0,428022.0,3.5414,2.9016
2005-01-10,3.3,3.2776,3.3,3.2102,874837.0,207966.0,3.5919,2.9408
2005-01-11,3.2776,3.2495,3.2832,3.2327,631892.0,150420.0,3.6031,2.9521
2005-01-12,3.2439,3.2102,3.2551,3.1934,2040466.0,491367.0,3.575,2.924
2005-01-13,3.2046,3.2215,3.2327,3.1541,1126237.0,272344.0,3.5301,2.8903
2005-01-14,3.2102,3.1822,3.2383,3.1766,1192222.0,288420.0,3.5414,2.9016
2005-01-17,3.1485,3.0868,3.1709,3.0699,2499049.0,623256.0,3.5021,2.8623
2005-01-18,3.0924,3.1092,3.1148,3.0419,2166910.0,545017.0,3.3954,2.7781
2005-01-19,3.1092,3.0868,3.126,3.0643,892508.0,223579.0,3.4179,2.8005
2005-01-20,3.0868,3.0587,3.0924,3.0475,1331192.0,335892.0,3.3954,2.7781
2005-01-21,3.0362,3.1373,3.1429,3.0306,2052016.0,513366.0,3.3674,2.7556
2005-01-24,3.2271,3.1766,3.2495,3.1485,2426981.0,590833.0,3.4516,2.823
2005-01-25,3.1766,3.1541,3.1766,3.098,1197100.0,296645.0,3.4965,2.8567
2005-01-26,3.1541,3.126,3.1541,3.1092,1033008.0,256135.0,3.4684,2.8398
2005-01-27,3.1148,3.0306,3.126,3.025,2703609.0,685058.0,3.4403,2.8118
2005-01-28,3.0194,2.9521,3.0419,2.9296,3056721.0,795708.0,3.3337,2.7276
2005-01-31,2.9408,2.8567,2.9408,2.8398,2987586.0,808335.0,3.2495,2.6546
2005-02-01,2.851,2.8567,2.8959,2.8342,1223528.0,330648.0,3.1429,2.5704
2005-02-02,2.8623,2.997,3.0082,2.8567,3000245.0,789083.0,3.1429,2.5704
2005-02-03,3.0026,2.9521,3.0419,2.9464,2624464.0,680740.0,3.2944,2.6995
2005-02-04,2.9464,2.997,3.0082,2.9128,2301333.0,600700.0,3.2495,2.6546
2005-02-16,3.0362,3.1092,3.126,2.9801,15232355.0,3905912.0,3.2944,2.6995
2005-02-17,3.0868,3.0587,3.0868,3.0306,4959667.0,1260039.0,3.4179,2.8005
2005-02-18,3.0531,3.0026,3.0587,2.997,2489556.0,636871.0,3.3674,2.7556
2005-02-21,2.9857,3.0587,3.0699,2.9857,6720793.0,1719314.0,3.3056,2.6995
